ZipCode,Yelp_Restaurant_Count,Yelp_Avg_Rating,Yelp_Avg_Review_Count,Num_Thai,Num_Coffee,Num_FastFood,Num_Japanese,Num_Italian,Num_American,Num_Bars,Num_HighEnd_Price4
22150,149,3.69,446.3,23,54,45,10,20,30,15,0
22716,0,0.0,0.0,0,0,0,0,0,0,0,0
20004,945,3.92,2470.9,57,322,180,78,166,277,233,22
20871,3,1.33,1.3,0,0,1,0,0,0,0,0
20190,68,3.66,201.6,9,21,21,7,13,21,14,0
20144,0,0.0,0.0,0,0,0,0,0,0,0,0
20186,0,0.0,0.0,0,0,0,0,0,0,0,0
20746,25,2.94,55.6,3,6,6,6,2,3,4,0
20910,196,3.79,443.1,24,71,32,8,25,44,46,0
20197,1,5.0,6.0,0,1,0,0,0,0,0,0
20906,24,3.35,77.3,2,12,7,3,4,2,2,0
22304,39,3.12,125.9,3,21,13,1,5,9,6,0
20905,8,3.4,101.6,2,4,3,0,1,2,1,0
20017,92,3.4,84.3,6,21,15,2,18,17,10,0
20716,14,2.1,28.9,0,2,6,0,1,2,2,0
22742,2,4.85,2.0,0,1,0,0,0,0,0,0
22553,0,0.0,0.0,0,0,0,0,0,0,0,0
20002,274,3.87,457.6,16,88,30,19,44,64,85,3
22202,251,3.67,499.5,23,116,76,13,44,79,71,1
20110,66,3.7,163.9,3,23,14,0,10,20,15,0
22205,148,3.92,339.1,30,40,23,3,15,15,11,0
20006,858,3.9,2116.0,57,336,152,63,174,293,268,19
22401,56,3.21,93.2,2,13,20,5,7,14,3,0
20171,2,1.5,1.0,0,1,0,0,0,1,0,0
21798,5,3.42,19.6,0,0,0,0,1,2,0,0
22206,66,3.76,310.1,9,25,13,4,13,18,9,0
20124,7,4.3,395.7,0,5,2,0,4,3,2,0
20019,35,2.39,21.2,1,11,14,0,4,6,0,0
20015,18,3.29,137.7,0,0,0,0,0,0,0,0
