ZipCode,City,State,MedianPrice,Livability_Score,PredictedPrice,Residual
22715,Brightwood,VA,379428.6192957017,1.2,556856.6934949572,-177428.0741992555
20877,Gaithersburg,MD,483104.4806369084,38.2,661982.7098362583,-178878.22919934994
22722,Haywood,VA,377616.3838976615,1.2,556856.6934949572,-179240.30959729565
21780,Sabillasville,MD,381077.0642298406,2.7,561118.5590223073,-180041.4947924667
21788,Thurmont,MD,383239.9623595397,3.6,563675.6783387173,-180435.71597917762
20716,Bowie,MD,441287.99264748726,24.5,623057.6713531279,-181769.67870564066
21703,Frederick,MD,414677.875071699,15.5,597486.4781890276,-182808.60311732866
20037,Washington,DC,570122.6893438926,70.3,753186.6321215495,-183063.94277765683
22731,Aroda,VA,370888.2518973157,0.5,554867.8229155272,-183979.57101821143
20662,Nanjemoy,MD,385382.3781515288,6.2,571062.9119194574,-185680.53376792854
20874,Germantown,MD,425283.5367331186,20.5,611692.6966135278,-186409.15988040925
22508,Locust Grove,VA,409703.02663258207,15.8,598338.8512944976,-188635.82466191554
20735,Clinton,MD,431103.7561647277,23.5,620216.4276682279,-189112.67150350026
20705,Beltsville,MD,454569.5977169212,32.2,644935.2477268581,-190365.65000993694
22642,Linden,VA,375831.1397034789,4.5,566232.7976551272,-190401.65795164835
20109,Manassas,VA,445157.0562950152,28.9,635559.143566688,-190402.08727167285
22733,Rapidan,VA,365102.9797436912,1.3,557140.8178634472,-192037.83811975602
20744,Fort Washington,MD,440323.3535836008,29.1,636127.3923036681,-195804.0387200673
20879,Gaithersburg,MD,446428.4719466885,32.0,644366.9989898782,-197938.52704318974
22732,Aroda,VA,356292.9694131261,0.7,555436.0716525072,-199143.10223938106
21727,Emmitsburg,MD,356971.1734305594,2.9,561686.8077592873,-204715.6343287279
20714,North Beach,MD,395423.2999055058,17.1,602032.4680848677,-206609.1681793619
22302,Arlington,VA,456397.1028265264,39.1,664539.8291526684,-208142.72632614197
20906,Silver Spring,MD,444801.78762361617,35.4,654027.2275185382,-209225.43989492208
20707,Laurel,MD,411490.8688364676,24.9,624194.168827088,-212703.29999062035
